ZIPCODE,Year,Quarter,NSA,Index_Type
10,1995,1,100.00,Native 3-Digit ZIP index
10,1995,2,101.46,Native 3-Digit ZIP index
10,1995,3,103.70,Native 3-Digit ZIP index
10,1995,4,103.65,Native 3-Digit ZIP index
10,1996,1,105.03,Native 3-Digit ZIP index
10,1996,2,103.60,Native 3-Digit ZIP index
10,1996,3,102.97,Native 3-Digit ZIP index
10,1996,4,103.54,Native 3-Digit ZIP index
10,1997,1,104.11,Native 3-Digit ZIP index
10,1997,2,105.07,Native 3-Digit ZIP index
10,1997,3,105.44,Native 3-Digit ZIP index
10,1997,4,106.58,Native 3-Digit ZIP index
10,1998,1,108.01,Native 3-Digit ZIP index
10,1998,2,108.71,Native 3-Digit ZIP index
10,1998,3,109.25,Native 3-Digit ZIP index
10,1998,4,110.50,Native 3-Digit ZIP index
10,1999,1,110.90,Native 3-Digit ZIP index
10,1999,2,111.90,Native 3-Digit ZIP index
10,1999,3,114.90,Native 3-Digit ZIP index
10,1999,4,115.06,Native 3-Digit ZIP index
10,2000,1,117.29,Native 3-Digit ZIP index
10,2000,2,117.95,Native 3-Digit ZIP index
10,2000,3,119.90,Native 3-Digit ZIP index
10,2000,4,121.56,Native 3-Digit ZIP index
10,2001,1,124.90,Native 3-Digit ZIP index
10,2001,2,126.89,Native 3-Digit ZIP index
10,2001,3,130.30,Native 3-Digit ZIP index
10,2001,4,131.22,Native 3-Digit ZIP index
10,2002,1,134.40,Native 3-Digit ZIP index
10,2002,2,138.21,Native 3-Digit ZIP index
10,2002,3,142.58,Native 3-Digit ZIP index
10,2002,4,145.15,Native 3-Digit ZIP index
10,2003,1,147.63,Native 3-Digit ZIP index
10,2003,2,150.48,Native 3-Digit ZIP index
10,2003,3,154.70,Native 3-Digit ZIP index
10,2003,4,161.36,Native 3-Digit ZIP index
10,2004,1,163.99,Native 3-Digit ZIP index
10,2004,2,170.01,Native 3-Digit ZIP index
10,2004,3,178.12,Native 3-Digit ZIP index
10,2004,4,182.99,Native 3-Digit ZIP index
10,2005,1,188.31,Native 3-Digit ZIP index
10,2005,2,194.31,Native 3-Digit ZIP index
10,2005,3,199.53,Native 3-Digit ZIP index
10,2005,4,202.64,Native 3-Digit ZIP index
10,2006,1,204.45,Native 3-Digit ZIP index
10,2006,2,205.27,Native 3-Digit ZIP index
10,2006,3,203.78,Native 3-Digit ZIP index
10,2006,4,207.19,Native 3-Digit ZIP index
10,2007,1,208.40,Native 3-Digit ZIP index
10,2007,2,207.60,Native 3-Digit ZIP index
10,2007,3,206.34,Native 3-Digit ZIP index
10,2007,4,207.75,Native 3-Digit ZIP index
10,2008,1,206.87,Native 3-Digit ZIP index
10,2008,2,201.77,Native 3-Digit ZIP index
10,2008,3,195.76,Native 3-Digit ZIP index
10,2008,4,195.98,Native 3-Digit ZIP index
10,2009,1,198.65,Native 3-Digit ZIP index
10,2009,2,193.50,Native 3-Digit ZIP index
10,2009,3,191.35,Native 3-Digit ZIP index
10,2009,4,192.18,Native 3-Digit ZIP index
10,2010,1,191.14,Native 3-Digit ZIP index
10,2010,2,188.92,Native 3-Digit ZIP index
10,2010,3,190.91,Native 3-Digit ZIP index
10,2010,4,190.45,Native 3-Digit ZIP index
10,2011,1,187.22,Native 3-Digit ZIP index
10,2011,2,185.23,Native 3-Digit ZIP index
10,2011,3,184.89,Native 3-Digit ZIP index
10,2011,4,184.63,Native 3-Digit ZIP index
10,2012,1,183.67,Native 3-Digit ZIP index
10,2012,2,182.76,Native 3-Digit ZIP index
10,2012,3,182.88,Native 3-Digit ZIP index
10,2012,4,183.73,Native 3-Digit ZIP index
10,2013,1,182.69,Native 3-Digit ZIP index
10,2013,2,182.80,Native 3-Digit ZIP index
10,2013,3,182.45,Native 3-Digit ZIP index
10,2013,4,183.77,Native 3-Digit ZIP index
10,2014,1,181.21,Native 3-Digit ZIP index
10,2014,2,183.43,Native 3-Digit ZIP index
10,2014,3,185.80,Native 3-Digit ZIP index
10,2014,4,185.96,Native 3-Digit ZIP index
10,2015,1,186.12,Native 3-Digit ZIP index
10,2015,2,187.84,Native 3-Digit ZIP index
10,2015,3,190.40,Native 3-Digit ZIP index
10,2015,4,187.85,Native 3-Digit ZIP index
10,2016,1,188.36,Native 3-Digit ZIP index
10,2016,2,192.06,Native 3-Digit ZIP index
10,2016,3,193.45,Native 3-Digit ZIP index
10,2016,4,193.66,Native 3-Digit ZIP index
10,2017,1,194.94,Native 3-Digit ZIP index
10,2017,2,197.36,Native 3-Digit ZIP index
10,2017,3,197.82,Native 3-Digit ZIP index
10,2017,4,200.62,Native 3-Digit ZIP index
10,2018,1,200.92,Native 3-Digit ZIP index
10,2018,2,205.22,Native 3-Digit ZIP index
10,2018,3,206.52,Native 3-Digit ZIP index
10,2018,4,206.43,Native 3-Digit ZIP index
10,2019,1,206.03,Native 3-Digit ZIP index
10,2019,2,211.87,Native 3-Digit ZIP index
10,2019,3,215.35,Native 3-Digit ZIP index
10,2019,4,216.67,Native 3-Digit ZIP index
10,2020,1,218.34,Native 3-Digit ZIP index
10,2020,2,220.45,Native 3-Digit ZIP index
10,2020,3,225.87,Native 3-Digit ZIP index
10,2020,4,232.23,Native 3-Digit ZIP index
10,2021,1,238.07,Native 3-Digit ZIP index
10,2021,2,248.88,Native 3-Digit ZIP index
10,2021,3,262.45,Native 3-Digit ZIP index
10,2021,4,268.60,Native 3-Digit ZIP index
11,1995,1,100.00,Native 3-Digit ZIP index
11,1995,2,103.14,Native 3-Digit ZIP index
11,1995,3,105.59,Native 3-Digit ZIP index
11,1995,4,106.60,Native 3-Digit ZIP index
11,1996,1,107.78,Native 3-Digit ZIP index
11,1996,2,106.96,Native 3-Digit ZIP index
11,1996,3,101.14,Native 3-Digit ZIP index
11,1996,4,103.32,Native 3-Digit ZIP index
11,1997,1,104.74,Native 3-Digit ZIP index
11,1997,2,107.07,Native 3-Digit ZIP index
11,1997,3,107.14,Native 3-Digit ZIP index
11,1997,4,106.41,Native 3-Digit ZIP index
11,1998,1,111.54,Native 3-Digit ZIP index
11,1998,2,112.65,Native 3-Digit ZIP index
11,1998,3,113.82,Native 3-Digit ZIP index
11,1998,4,114.98,Native 3-Digit ZIP index
11,1999,1,115.40,Native 3-Digit ZIP index
11,1999,2,115.42,Native 3-Digit ZIP index
11,1999,3,118.12,Native 3-Digit ZIP index
11,1999,4,117.17,Native 3-Digit ZIP index
11,2000,1,120.56,Native 3-Digit ZIP index
11,2000,2,120.81,Native 3-Digit ZIP index
11,2000,3,124.03,Native 3-Digit ZIP index
11,2000,4,126.16,Native 3-Digit ZIP index
11,2001,1,130.20,Native 3-Digit ZIP index
11,2001,2,132.95,Native 3-Digit ZIP index
11,2001,3,133.78,Native 3-Digit ZIP index
11,2001,4,139.51,Native 3-Digit ZIP index
